"subject" "activity" "domainType" "sensorType" "axisDir" "statsType" "accType" "isJerk" "isMagnitude" "average"
"26" 1 "LAYING" "time" "accelerometer" NA "std" "Body" NA "Mag" -0.79514486386
"27" 1 "LAYING" "time" "accelerometer" NA "std" "Body" "Jerk" "Mag" -0.9282456284
"28" 1 "LAYING" "time" "accelerometer" NA "std" "Gravity" NA "Mag" -0.79514486386
"29" 1 "LAYING" "time" "accelerometer" "X" "mean" "Body" NA NA 0.22159824394
"30" 1 "LAYING" "time" "accelerometer" "X" "mean" "Body" "Jerk" NA 0.0810865342
"31" 1 "LAYING" "time" "accelerometer" "X" "mean" "Gravity" NA NA -0.24888179828
"32" 1 "LAYING" "time" "accelerometer" "X" "std" "Body" NA NA -0.9280564692
"33" 1 "LAYING" "time" "accelerometer" "X" "std" "Body" "Jerk" NA -0.958482112
"34" 1 "LAYING" "time" "accelerometer" "X" "std" "Gravity" NA NA -0.8968300184
"35" 1 "LAYING" "time" "accelerometer" "Y" "mean" "Body" NA NA -0.0405139534294
"36" 1 "LAYING" "time" "accelerometer" "Y" "mean" "Body" "Jerk" NA 0.0038382040088
"37" 1 "LAYING" "time" "accelerometer" "Y" "mean" "Gravity" NA NA 0.70554977346
"38" 1 "LAYING" "time" "accelerometer" "Y" "std" "Body" NA NA -0.83682740562
"39" 1 "LAYING" "time" "accelerometer" "Y" "std" "Body" "Jerk" NA -0.9241492736
"40" 1 "LAYING" "time" "accelerometer" "Y" "std" "Gravity" NA NA -0.90772000676
"41" 1 "LAYING" "time" "accelerometer" "Z" "mean" "Body" NA NA -0.11320355358
"42" 1 "LAYING" "time" "accelerometer" "Z" "mean" "Body" "Jerk" NA 0.010834236361
"43" 1 "LAYING" "time" "accelerometer" "Z" "mean" "Gravity" NA NA 0.4458177198
"44" 1 "LAYING" "time" "accelerometer" "Z" "std" "Body" NA NA -0.826061401628
"45" 1 "LAYING" "time" "accelerometer" "Z" "std" "Body" "Jerk" NA -0.9548551108
"46" 1 "LAYING" "time" "accelerometer" "Z" "std" "Gravity" NA NA -0.85236629022
"47" 1 "LAYING" "time" "gyroscope" NA "mean" "Body" NA "Mag" -0.874759548
"48" 1 "LAYING" "time" "gyroscope" NA "mean" "Body" "Jerk" "Mag" -0.96346103
"49" 1 "LAYING" "time" "gyroscope" NA "std" "Body" NA "Mag" -0.81901016976
"50" 1 "LAYING" "time" "gyroscope" NA "std" "Body" "Jerk" "Mag" -0.9358409828
"51" 1 "LAYING" "time" "gyroscope" "X" "mean" "Body" NA NA -0.016553093978
"52" 1 "LAYING" "time" "gyroscope" "X" "mean" "Body" "Jerk" NA -0.107270949192
"53" 1 "LAYING" "time" "gyroscope" "X" "std" "Body" NA NA -0.87354386782
"54" 1 "LAYING" "time" "gyroscope" "X" "std" "Body" "Jerk" NA -0.9186085208
"55" 1 "LAYING" "time" "gyroscope" "Y" "mean" "Body" NA NA -0.064486124088
"56" 1 "LAYING" "time" "gyroscope" "Y" "mean" "Body" "Jerk" NA -0.04151728689
"57" 1 "LAYING" "time" "gyroscope" "Y" "std" "Body" NA NA -0.9510904402
"58" 1 "LAYING" "time" "gyroscope" "Y" "std" "Body" "Jerk" NA -0.9679072436
"59" 1 "LAYING" "time" "gyroscope" "Z" "mean" "Body" NA NA 0.14868943626
"60" 1 "LAYING" "time" "gyroscope" "Z" "mean" "Body" "Jerk" NA -0.0740501211
"61" 1 "LAYING" "time" "gyroscope" "Z" "std" "Body" NA NA -0.9082846626
"62" 1 "LAYING" "time" "gyroscope" "Z" "std" "Body" "Jerk" NA -0.9577901596
"63" 1 "SITTING" "freq" "accelerometer" NA "mean" "Body" NA "Mag" -0.953109255957447
"64" 1 "SITTING" "freq" "accelerometer" NA "mean" "Body" "Jerk" "Mag" -0.987529837021277
"65" 1 "SITTING" "freq" "accelerometer" NA "std" "Body" NA "Mag" -0.930321588297872
"66" 1 "SITTING" "freq" "accelerometer" NA "std" "Body" "Jerk" "Mag" -0.984327897340426
"67" 1 "SITTING" "freq" "accelerometer" "X" "mean" "Body" NA NA -0.979641238723404
"68" 1 "SITTING" "freq" "accelerometer" "X" "mean" "Body" "Jerk" NA -0.986597022553191
"69" 1 "SITTING" "freq" "accelerometer" "X" "std" "Body" NA NA -0.976412313191489
"70" 1 "SITTING" "freq" "accelerometer" "X" "std" "Body" "Jerk" NA -0.987492994468085
"71" 1 "SITTING" "freq" "accelerometer" "Y" "mean" "Body" NA NA -0.944084550425532
"72" 1 "SITTING" "freq" "accelerometer" "Y" "mean" "Body" "Jerk" NA -0.981579467021277
"73" 1 "SITTING" "freq" "accelerometer" "Y" "std" "Body" NA NA -0.917275006382979
"74" 1 "SITTING" "freq" "accelerometer" "Y" "std" "Body" "Jerk" NA -0.982513909574468
"75" 1 "SITTING" "freq" "accelerometer" "Z" "mean" "Body" NA NA -0.959184889148936
"76" 1 "SITTING" "freq" "accelerometer" "Z" "mean" "Body" "Jerk" NA -0.986053092340426
"77" 1 "SITTING" "freq" "accelerometer" "Z" "std" "Body" NA NA -0.934469558085106
"78" 1 "SITTING" "freq" "accelerometer" "Z" "std" "Body" "Jerk" NA -0.988339184893617
"79" 1 "SITTING" "freq" "gyroscope" "X" "mean" "Body" NA NA -0.976161464042553
"80" 1 "SITTING" "freq" "gyroscope" "X" "std" "Body" NA NA -0.977904227021277
"81" 1 "SITTING" "freq" "gyroscope" "Y" "mean" "Body" NA NA -0.975838585319149
"82" 1 "SITTING" "freq" "gyroscope" "Y" "std" "Body" NA NA -0.962345042553192
"83" 1 "SITTING" "freq" "gyroscope" "Z" "mean" "Body" NA NA -0.951315544468085
"84" 1 "SITTING" "freq" "gyroscope" "Z" "std" "Body" NA NA -0.94391784106383
"85" 1 "SITTING" "time" "accelerometer" NA "mean" "Body" NA "Mag" -0.948536786170213
"86" 1 "SITTING" "time" "accelerometer" NA "mean" "Body" "Jerk" "Mag" -0.987364195531915
"87" 1 "SITTING" "time" "accelerometer" NA "mean" "Gravity" NA "Mag" -0.948536786170213
"88" 1 "SITTING" "time" "accelerometer" NA "std" "Body" NA "Mag" -0.927078418723404
"89" 1 "SITTING" "time" "accelerometer" NA "std" "Body" "Jerk" "Mag" -0.984120024042553
"90" 1 "SITTING" "time" "accelerometer" NA "std" "Gravity" NA "Mag" -0.927078418723404
"91" 1 "SITTING" "time" "accelerometer" "X" "mean" "Body" NA NA 0.261237565425532
"92" 1 "SITTING" "time" "accelerometer" "X" "mean" "Body" "Jerk" NA 0.0774825199574468
"93" 1 "SITTING" "time" "accelerometer" "X" "mean" "Gravity" NA NA 0.831509933404255
"94" 1 "SITTING" "time" "accelerometer" "X" "std" "Body" NA NA -0.977229008297872
"95" 1 "SITTING" "time" "accelerometer" "X" "std" "Body" "Jerk" NA -0.986430711276596
"96" 1 "SITTING" "time" "accelerometer" "X" "std" "Gravity" NA NA -0.968457145744681
"97" 1 "SITTING" "time" "accelerometer" "Y" "mean" "Body" NA NA -0.00130828765170213
"98" 1 "SITTING" "time" "accelerometer" "Y" "mean" "Body" "Jerk" NA -0.000619102785106384
"99" 1 "SITTING" "time" "accelerometer" "Y" "mean" "Gravity" NA NA 0.204411592680851
"100" 1 "SITTING" "time" "accelerometer" "Y" "std" "Body" NA NA -0.922618641914894
"101" 1 "SITTING" "time" "accelerometer" "Y" "std" "Body" "Jerk" NA -0.981371965319149
"102" 1 "SITTING" "time" "accelerometer" "Y" "std" "Gravity" NA NA -0.935517055957447
"103" 1 "SITTING" "time" "accelerometer" "Z" "mean" "Body" NA NA -0.104544182255319
"104" 1 "SITTING" "time" "accelerometer" "Z" "mean" "Body" "Jerk" NA -0.00336779235021277
"105" 1 "SITTING" "time" "accelerometer" "Z" "mean" "Gravity" NA NA 0.332043702765957
"106" 1 "SITTING" "time" "accelerometer" "Z" "std" "Body" NA NA -0.93958629106383
"107" 1 "SITTING" "time" "accelerometer" "Z" "std" "Body" "Jerk" NA -0.987910804468085
"108" 1 "SITTING" "time" "accelerometer" "Z" "std" "Gravity" NA NA -0.949040933191489
"109" 1 "SITTING" "time" "gyroscope" NA "mean" "Body" NA "Mag" -0.93089249
"110" 1 "SITTING" "time" "gyroscope" NA "mean" "Body" "Jerk" "Mag" -0.991976341276596
"111" 1 "SITTING" "time" "gyroscope" NA "std" "Body" NA "Mag" -0.934531840425532
"112" 1 "SITTING" "time" "gyroscope" NA "std" "Body" "Jerk" "Mag" -0.988308728510638
"113" 1 "SITTING" "time" "gyroscope" "X" "mean" "Body" NA NA -0.045350056512766
"114" 1 "SITTING" "time" "gyroscope" "X" "mean" "Body" "Jerk" NA -0.0936793807234042
"115" 1 "SITTING" "time" "gyroscope" "X" "std" "Body" NA NA -0.977211283191489
"116" 1 "SITTING" "time" "gyroscope" "X" "std" "Body" "Jerk" NA -0.99173159212766
"117" 1 "SITTING" "time" "gyroscope" "Y" "mean" "Body" NA NA -0.0919241549361702
"118" 1 "SITTING" "time" "gyroscope" "Y" "mean" "Body" "Jerk" NA -0.0402118124255319
"119" 1 "SITTING" "time" "gyroscope" "Y" "std" "Body" NA NA -0.966473895319149
"120" 1 "SITTING" "time" "gyroscope" "Y" "std" "Body" "Jerk" NA -0.989518068510638
"121" 1 "SITTING" "time" "gyroscope" "Z" "mean" "Body" NA NA 0.0629313811914894
"122" 1 "SITTING" "time" "gyroscope" "Z" "mean" "Body" "Jerk" NA -0.046702627
"123" 1 "SITTING" "time" "gyroscope" "Z" "std" "Body" NA NA -0.941425920851064
"124" 1 "SITTING" "time" "gyroscope" "Z" "std" "Body" "Jerk" NA -0.987935806382979
"125" 1 "STANDING" "freq" "accelerometer" NA "mean" "Body" NA "Mag" -0.984986992264151
"126" 1 "STANDING" "freq" "accelerometer" NA "mean" "Body" "Jerk" "Mag" -0.993678927264151
"127" 1 "STANDING" "freq" "accelerometer" NA "std" "Body" NA "Mag" -0.980389938396226
"128" 1 "STANDING" "freq" "accelerometer" NA "std" "Body" "Jerk" "Mag" -0.993603563301887
"129" 1 "STANDING" "freq" "accelerometer" "X" "mean" "Body" NA NA -0.99524993264151
"130" 1 "STANDING" "freq" "accelerometer" "X" "mean" "Body" "Jerk" NA -0.994630797358491
"131" 1 "STANDING" "freq" "accelerometer" "X" "std" "Body" NA NA -0.99602834509434
"132" 1 "STANDING" "freq" "accelerometer" "X" "std" "Body" "Jerk" NA -0.995073759245283
"133" 1 "STANDING" "freq" "accelerometer" "Y" "mean" "Body" NA NA -0.977070847735849
"134" 1 "STANDING" "freq" "accelerometer" "Y" "mean" "Body" "Jerk" NA -0.985418704528302
"135" 1 "STANDING" "freq" "accelerometer" "Y" "std" "Body" NA NA -0.972293102075472
"136" 1 "STANDING" "freq" "accelerometer" "Y" "std" "Body" "Jerk" NA -0.987018226792453
"137" 1 "STANDING" "freq" "accelerometer" "Z" "mean" "Body" NA NA -0.985297098679245
"138" 1 "STANDING" "freq" "accelerometer" "Z" "mean" "Body" "Jerk" NA -0.990752166037736
"139" 1 "STANDING" "freq" "accelerometer" "Z" "std" "Body" NA NA -0.977937259622642
"140" 1 "STANDING" "freq" "accelerometer" "Z" "std" "Body" "Jerk" NA -0.992349818113207
"141" 1 "STANDING" "freq" "gyroscope" "X" "mean" "Body" NA NA -0.986386786037736
"142" 1 "STANDING" "freq" "gyroscope" "X" "std" "Body" NA NA -0.987497128679245
"143" 1 "STANDING" "freq" "gyroscope" "Y" "mean" "Body" NA NA -0.988984455849057
"144" 1 "STANDING" "freq" "gyroscope" "Y" "std" "Body" NA NA -0.987107727735849
"145" 1 "STANDING" "freq" "gyroscope" "Z" "mean" "Body" NA NA -0.980773122830189
"146" 1 "STANDING" "freq" "gyroscope" "Z" "std" "Body" NA NA -0.98234533
"147" 1 "STANDING" "time" "accelerometer" NA "mean" "Body" NA "Mag" -0.98427820735849
"148" 1 "STANDING" "time" "accelerometer" NA "mean" "Body" "Jerk" "Mag" -0.992367790566038
"149" 1 "STANDING" "time" "accelerometer" NA "mean" "Gravity" NA "Mag" -0.98427820735849
"150" 1 "STANDING" "time" "accelerometer" NA "std" "Body" NA "Mag" -0.981942928867925
"151" 1 "STANDING" "time" "accelerometer" NA "std" "Body" "Jerk" "Mag" -0.993096209433962
"152" 1 "STANDING" "time" "accelerometer" NA "std" "Gravity" NA "Mag" -0.981942928867925
"153" 1 "STANDING" "time" "accelerometer" "X" "mean" "Body" NA NA 0.278917629056604
"154" 1 "STANDING" "time" "accelerometer" "X" "mean" "Body" "Jerk" NA 0.0753766542264151
"155" 1 "STANDING" "time" "accelerometer" "X" "mean" "Gravity" NA NA 0.942952000377358
"156" 1 "STANDING" "time" "accelerometer" "X" "std" "Body" NA NA -0.995759901509434
"157" 1 "STANDING" "time" "accelerometer" "X" "std" "Body" "Jerk" NA -0.994604542264151
"158" 1 "STANDING" "time" "accelerometer" "X" "std" "Gravity" NA NA -0.99376298509434
"159" 1 "STANDING" "time" "accelerometer" "Y" "mean" "Body" NA NA -0.0161375901037736
"160" 1 "STANDING" "time" "accelerometer" "Y" "mean" "Body" "Jerk" NA 0.00797573092830189
"161" 1 "STANDING" "time" "accelerometer" "Y" "mean" "Gravity" NA NA -0.272983832264151
"162" 1 "STANDING" "time" "accelerometer" "Y" "std" "Body" NA NA -0.973190056415094
"163" 1 "STANDING" "time" "accelerometer" "Y" "std" "Body" "Jerk" NA -0.98564873245283
"164" 1 "STANDING" "time" "accelerometer" "Y" "std" "Gravity" NA NA -0.981225957924528
"165" 1 "STANDING" "time" "accelerometer" "Z" "mean" "Body" NA NA -0.110601817735849
"166" 1 "STANDING" "time" "accelerometer" "Z" "mean" "Body" "Jerk" NA -0.00368524954709434
"167" 1 "STANDING" "time" "accelerometer" "Z" "mean" "Gravity" NA NA 0.0134905823226415
"168" 1 "STANDING" "time" "accelerometer" "Z" "std" "Body" NA NA -0.979775876981132
"169" 1 "STANDING" "time" "accelerometer" "Z" "std" "Body" "Jerk" NA -0.992251177358491
"170" 1 "STANDING" "time" "accelerometer" "Z" "std" "Gravity" NA NA -0.976324063584906
"171" 1 "STANDING" "time" "gyroscope" NA "mean" "Body" NA "Mag" -0.976493792830189
"172" 1 "STANDING" "time" "gyroscope" NA "mean" "Body" "Jerk" "Mag" -0.994966790566038
"173" 1 "STANDING" "time" "gyroscope" NA "std" "Body" NA "Mag" -0.978690028679245
"174" 1 "STANDING" "time" "gyroscope" NA "std" "Body" "Jerk" "Mag" -0.994733238679245
"175" 1 "STANDING" "time" "gyroscope" "X" "mean" "Body" NA NA -0.0239877347979245
"176" 1 "STANDING" "time" "gyroscope" "X" "mean" "Body" "Jerk" NA -0.0996092129056604
"177" 1 "STANDING" "time" "gyroscope" "X" "std" "Body" NA NA -0.987191946603774
"178" 1 "STANDING" "time" "gyroscope" "X" "std" "Body" "Jerk" NA -0.992945106981132
"179" 1 "STANDING" "time" "gyroscope" "Y" "mean" "Body" NA NA -0.0593972209811321
"180" 1 "STANDING" "time" "gyroscope" "Y" "mean" "Body" "Jerk" NA -0.0440627877924528
"181" 1 "STANDING" "time" "gyroscope" "Y" "std" "Body" NA NA -0.98773444
"182" 1 "STANDING" "time" "gyroscope" "Y" "std" "Body" "Jerk" NA -0.995137917358491
"183" 1 "STANDING" "time" "gyroscope" "Z" "mean" "Body" NA NA 0.074800751
"184" 1 "STANDING" "time" "gyroscope" "Z" "mean" "Body" "Jerk" NA -0.0489505466716981
"185" 1 "STANDING" "time" "gyroscope" "Z" "std" "Body" NA NA -0.980645626981132
"186" 1 "STANDING" "time" "gyroscope" "Z" "std" "Body" "Jerk" NA -0.992108467169811
"187" 1 "WALKING" "freq" "accelerometer" NA "mean" "Body" NA "Mag" -0.163938009807895
"188" 1 "WALKING" "freq" "accelerometer" NA "mean" "Body" "Jerk" "Mag" -0.188213996906632
"189" 1 "WALKING" "freq" "accelerometer" NA "std" "Body" NA "Mag" -0.359525270368421
"190" 1 "WALKING" "freq" "accelerometer" NA "std" "Body" "Jerk" "Mag" -0.242547157395789
"191" 1 "WALKING" "freq" "accelerometer" "X" "mean" "Body" NA NA -0.202794306326316
"192" 1 "WALKING" "freq" "accelerometer" "X" "mean" "Body" "Jerk" NA -0.170546964549579
"193" 1 "WALKING" "freq" "accelerometer" "X" "std" "Body" NA NA -0.319134719578947
"194" 1 "WALKING" "freq" "accelerometer" "X" "std" "Body" "Jerk" NA -0.133586606326316
"195" 1 "WALKING" "freq" "accelerometer" "Y" "mean" "Body" NA NA 0.0897127264021053
"196" 1 "WALKING" "freq" "accelerometer" "Y" "mean" "Body" "Jerk" NA -0.0352255241130632
"197" 1 "WALKING" "freq" "accelerometer" "Y" "std" "Body" NA NA 0.056040006846
"198" 1 "WALKING" "freq" "accelerometer" "Y" "std" "Body" "Jerk" NA 0.106739857136
"199" 1 "WALKING" "freq" "accelerometer" "Z" "mean" "Body" NA NA -0.331560117789474
"200" 1 "WALKING" "freq" "accelerometer" "Z" "mean" "Body" "Jerk" NA -0.468999224631579
"201" 1 "WALKING" "freq" "accelerometer" "Z" "std" "Body" NA NA -0.279686751494737
"202" 1 "WALKING" "freq" "accelerometer" "Z" "std" "Body" "Jerk" NA -0.534713440421053
"203" 1 "WALKING" "freq" "gyroscope" "X" "mean" "Body" NA NA -0.339032197115789
"204" 1 "WALKING" "freq" "gyroscope" "X" "std" "Body" NA NA -0.516691938736842
"205" 1 "WALKING" "freq" "gyroscope" "Y" "mean" "Body" NA NA -0.103059416434737
"206" 1 "WALKING" "freq" "gyroscope" "Y" "std" "Body" NA NA -0.0335081597884211
"207" 1 "WALKING" "freq" "gyroscope" "Z" "mean" "Body" NA NA -0.255940940315789
"208" 1 "WALKING" "freq" "gyroscope" "Z" "std" "Body" NA NA -0.436562227473684
"209" 1 "WALKING" "time" "accelerometer" NA "mean" "Body" NA "Mag" -0.136971176556842
"210" 1 "WALKING" "time" "accelerometer" NA "mean" "Body" "Jerk" "Mag" -0.141428809031579
"211" 1 "WALKING" "time" "accelerometer" NA "mean" "Gravity" NA "Mag" -0.136971176556842
"212" 1 "WALKING" "time" "accelerometer" NA "std" "Body" NA "Mag" -0.219688645631579
"213" 1 "WALKING" "time" "accelerometer" NA "std" "Body" "Jerk" "Mag" -0.0744717500625263
"214" 1 "WALKING" "time" "accelerometer" NA "std" "Gravity" NA "Mag" -0.219688645631579
"215" 1 "WALKING" "time" "accelerometer" "X" "mean" "Body" NA NA 0.277330758736842
"216" 1 "WALKING" "time" "accelerometer" "X" "mean" "Body" "Jerk" NA 0.0740416333157895
"217" 1 "WALKING" "time" "accelerometer" "X" "mean" "Gravity" NA NA 0.935223201473684
"218" 1 "WALKING" "time" "accelerometer" "X" "std" "Body" NA NA -0.283740258842105
"219" 1 "WALKING" "time" "accelerometer" "X" "std" "Body" "Jerk" NA -0.113615602435789
"220" 1 "WALKING" "time" "accelerometer" "X" "std" "Gravity" NA NA -0.976609642526316
"221" 1 "WALKING" "time" "accelerometer" "Y" "mean" "Body" NA NA -0.0173838185273684
"222" 1 "WALKING" "time" "accelerometer" "Y" "mean" "Body" "Jerk" NA 0.0282721095884211
"223" 1 "WALKING" "time" "accelerometer" "Y" "mean" "Gravity" NA NA -0.282165021263158
"224" 1 "WALKING" "time" "accelerometer" "Y" "std" "Body" NA NA 0.114461336747368
"225" 1 "WALKING" "time" "accelerometer" "Y" "std" "Body" "Jerk" NA 0.0670025007684211
"226" 1 "WALKING" "time" "accelerometer" "Y" "std" "Gravity" NA NA -0.971305961473684
"227" 1 "WALKING" "time" "accelerometer" "Z" "mean" "Body" NA NA -0.111148103547368
"228" 1 "WALKING" "time" "accelerometer" "Z" "mean" "Body" "Jerk" NA -0.00416840617789474
"229" 1 "WALKING" "time" "accelerometer" "Z" "mean" "Gravity" NA NA -0.068102864
"230" 1 "WALKING" "time" "accelerometer" "Z" "std" "Body" NA NA -0.260027902210526
"231" 1 "WALKING" "time" "accelerometer" "Z" "std" "Body" "Jerk" NA -0.502699788526316
"232" 1 "WALKING" "time" "accelerometer" "Z" "std" "Gravity" NA NA -0.947717226105263
"233" 1 "WALKING" "time" "gyroscope" NA "mean" "Body" NA "Mag" -0.160979552536842
"234" 1 "WALKING" "time" "gyroscope" NA "mean" "Body" "Jerk" "Mag" -0.298703679084211
"235" 1 "WALKING" "time" "gyroscope" NA "std" "Body" NA "Mag" -0.186978364526316
"236" 1 "WALKING" "time" "gyroscope" NA "std" "Body" "Jerk" "Mag" -0.325324878894737
"237" 1 "WALKING" "time" "gyroscope" "X" "mean" "Body" NA NA -0.041830963526
"238" 1 "WALKING" "time" "gyroscope" "X" "mean" "Body" "Jerk" NA -0.0899975423705263
"239" 1 "WALKING" "time" "gyroscope" "X" "std" "Body" NA NA -0.473535485894737
"240" 1 "WALKING" "time" "gyroscope" "X" "std" "Body" "Jerk" NA -0.207421854757895
"241" 1 "WALKING" "time" "gyroscope" "Y" "mean" "Body" NA NA -0.0695300462115789
"242" 1 "WALKING" "time" "gyroscope" "Y" "mean" "Body" "Jerk" NA -0.0398428709463158
"243" 1 "WALKING" "time" "gyroscope" "Y" "std" "Body" NA NA -0.0546077686594737
"244" 1 "WALKING" "time" "gyroscope" "Y" "std" "Body" "Jerk" NA -0.304468510631579
"245" 1 "WALKING" "time" "gyroscope" "Z" "mean" "Body" NA NA 0.0849448173042105
"246" 1 "WALKING" "time" "gyroscope" "Z" "mean" "Body" "Jerk" NA -0.0461309295021053
"247" 1 "WALKING" "time" "gyroscope" "Z" "std" "Body" NA NA -0.344266629473684
"248" 1 "WALKING" "time" "gyroscope" "Z" "std" "Body" "Jerk" NA -0.404255452631579
"249" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" NA "mean" "Body" NA "Mag" -0.0445678757204082
"250" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" NA "mean" "Body" "Jerk" "Mag" -0.127872432122449
"251" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" NA "std" "Body" NA "Mag" -0.292440345597959
"252" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" NA "std" "Body" "Jerk" "Mag" -0.247986068669388
"253" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "X" "mean" "Body" NA NA 0.0382291831510204
"254" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "X" "mean" "Body" "Jerk" NA -0.0276638676122449
"255" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "X" "std" "Body" NA NA 0.0243308391387755
"256" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "X" "std" "Body" "Jerk" NA -0.0863278966402041
"257" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "Y" "mean" "Body" NA NA 0.00154990783591837
"258" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "Y" "mean" "Body" "Jerk" NA -0.12866715764898
"259" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "Y" "std" "Body" NA NA -0.112963739953061
"260" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "Y" "std" "Body" "Jerk" NA -0.134580008877551
"261" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "Z" "mean" "Body" NA NA -0.225574471693878
"262" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "Z" "mean" "Body" "Jerk" NA -0.288334735714286
"263" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "Z" "std" "Body" NA NA -0.297927894693878
"264" 1 "WALKING_DOWNSTAIRS" "freq" "accelerometer" "Z" "std" "Body" "Jerk" NA -0.401721464285714
"265" 1 "WALKING_DOWNSTAIRS" "freq" "gyroscope" "X" "mean" "Body" NA NA -0.352449631363265
"266" 1 "WALKING_DOWNSTAIRS" "freq" "gyroscope" "X" "std" "Body" NA NA -0.495422486102041
"267" 1 "WALKING_DOWNSTAIRS" "freq" "gyroscope" "Y" "mean" "Body" NA NA -0.0557022524693878
"268" 1 "WALKING_DOWNSTAIRS" "freq" "gyroscope" "Y" "std" "Body" NA NA -0.181414728657143
"269" 1 "WALKING_DOWNSTAIRS" "freq" "gyroscope" "Z" "mean" "Body" NA NA -0.0318694271979592
"270" 1 "WALKING_DOWNSTAIRS" "freq" "gyroscope" "Z" "std" "Body" NA NA -0.238443565306122
"271" 1 "WALKING_DOWNSTAIRS" "time" "accelerometer" NA "mean" "Body" NA "Mag" 0.0271882914106122
"272" 1 "WALKING_DOWNSTAIRS" "time" "accelerometer" NA "mean" "Body" "Jerk" "Mag" -0.0894474807979592
"273" 1 "WALKING_DOWNSTAIRS" "time" "accelerometer" NA "mean" "Gravity" NA "Mag" 0.0271882914106122
"274" 1 "WALKING_DOWNSTAIRS" "time" "accelerometer" NA "std" "Body" NA "Mag" 0.0198843506265306
"275" 1 "WALKING_DOWNSTAIRS" "time" "accelerometer" NA "std" "Body" "Jerk" "Mag" -0.0257877197081633
"276" 1 "WALKING_DOWNSTAIRS" "time" "accelerometer" NA "std" "Gravity" NA "Mag" 0.0198843506265306
"277" 1 "WALKING_DOWNSTAIRS" "time" "accelerometer" "X" "mean" "Body" NA NA 0.289188320408163
"278" 1 "WALKING_DOWNSTAIRS" "time" "accelerometer" "X" "mean" "Body" "Jerk" NA 0.0541553164897959
"279" 1 "WALKING_DOWNSTAIRS" "time" "accelerometer" "X" "mean" "Gravity" NA NA 0.931874418979592
